"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "97", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:2#seminar_test.Person:2, value=<void>"
"main", "98", "seminar_test/Elevator_Scheduler.java:25", "Method Returned", " "
"main", "99", "seminar_test/Elevator_Scheduler.java:25", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=25"
"main", "100", "seminar_test/Elevator_Scheduler.java:25", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p2=seminar_test.Person:2"
"main", "101", "seminar_test/Elevator_Scheduler.java:26", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=26"
"main", "102", "seminar_test/Elevator_Scheduler.java:26", "New Object", " object=seminar_test.Person:3"
"main", "103", "seminar_test/Elevator_Scheduler.java:26", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:3#seminar_test.Person:3"
"main", "104", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "105", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:3#seminar_test.Person:3, name=""C"""
"main", "106", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:3#seminar_test.Person:3, S=seminar_test.Scheduler:1"
"main", "107", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "108", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "109", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:3, from=0"
"main", "110", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "111", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:3, to=0"
"main", "112", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "113", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:3, name=""C"""
"main", "114", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "115", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:3, S=seminar_test.Scheduler:1"
"main", "116", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
